"","confirmation_code","Gender","SES","X1.111","X1.112","Al.IW2.1"
"446",37597768,1,4,NA,NA,NA
"450",45200973,2,4,NA,NA,NA
"452",93683905,1,7,NA,NA,NA
"454",27324369,1,4,NA,NA,NA
"457",58337430,2,5,NA,NA,NA
"458",51963360,1,8,NA,NA,NA
"459",28716441,2,6,NA,NA,NA
"461",61138872,1,7,NA,NA,NA
"466",38621690,1,6,NA,NA,NA
"471",41695758,1,7,NA,NA,NA
"472",46615144,1,7,NA,NA,NA
"476",83868831,1,6,NA,NA,NA
"478",63794998,1,8,NA,NA,NA
"479",52463485,2,5,NA,NA,NA
"480",60473853,2,4,NA,NA,NA
"481",88212679,1,6,NA,NA,NA
"483",36127521,1,5,NA,NA,NA
"484",67962126,2,4,NA,NA,NA
"486",53233399,2,6,NA,NA,NA
"492",32519641,1,4,NA,NA,NA
"493",32975525,2,4,NA,NA,NA
"495",59826436,2,7,NA,NA,NA
"498",22520100,1,8,NA,NA,NA
"499",80791213,1,3,NA,NA,NA
"501",38977533,1,7,NA,NA,NA
"502",45002256,1,6,NA,NA,NA
"506",91043543,2,4,NA,NA,NA
"507",56445818,2,6,NA,NA,NA
"509",29557217,1,7,NA,NA,NA
"510",51318797,2,8,NA,NA,NA
"514",66391844,1,4,NA,NA,NA
"515",83153822,1,5,NA,NA,NA
"516",85959326,2,4,NA,NA,NA
"519",97196128,2,8,NA,NA,NA
"521",95291136,1,5,NA,NA,NA
"523",95043432,2,3,NA,NA,NA
"525",81630337,2,4,NA,NA,NA
"526",86601360,2,5,NA,NA,NA
"527",78671841,2,8,NA,NA,NA
"530",91111560,2,5,NA,NA,NA
"531",39367587,2,5,NA,NA,NA
"532",13648170,1,5,NA,NA,NA
"533",71780867,2,8,NA,NA,NA
"534",62779213,2,8,NA,NA,NA
"535",45921475,2,6,NA,NA,NA
"538",75476662,1,7,NA,NA,NA
"539",45400927,2,4,NA,NA,NA
"543",44750965,2,6,NA,NA,NA
"544",98734822,1,4,NA,NA,NA
"547",74499471,2,4,NA,NA,NA
"548",73266726,2,4,NA,NA,NA
"549",68500008,1,10,NA,NA,NA
"551",67263388,1,8,NA,NA,NA
"553",28950038,2,8,NA,NA,NA
"555",74666800,1,7,NA,NA,NA
"557",45309915,2,5,NA,NA,NA
"559",89227305,2,8,NA,NA,NA
"562",91238527,1,5,NA,NA,NA
"563",23608840,2,6,NA,NA,NA
"564",89192204,2,6,NA,NA,NA
"566",72642503,1,7,NA,NA,NA
"568",36618451,1,8,NA,NA,NA
"569",76498099,2,5,NA,NA,NA
"570",39796481,1,3,NA,NA,NA
"571",73655940,2,4,NA,1,1
"572",93321142,1,5,NA,NA,NA
"573",10466911,1,7,NA,NA,NA
"574",54952283,2,7,1,NA,NA
"575",28898624,2,7,NA,NA,NA
"576",67397864,2,5,NA,NA,NA
"578",19680172,2,7,NA,NA,NA
"579",39691246,1,4,NA,NA,NA
"581",26936406,1,5,NA,NA,NA
"584",41233045,2,2,NA,NA,NA
"585",62807438,2,8,NA,NA,NA
"586",26696221,2,8,NA,NA,NA
"587",35996879,1,5,NA,NA,NA
"588",84512290,2,8,NA,NA,NA
"590",74340212,2,8,NA,NA,NA
"593",56710103,2,6,NA,NA,NA
"594",59964746,2,7,NA,NA,NA
"596",98531634,1,6,NA,NA,NA
"597",61087057,2,7,NA,NA,NA
"598",31371700,1,5,NA,NA,NA
"600",64405298,2,8,NA,NA,NA
"602",63422759,2,9,NA,NA,NA
"604",18004041,2,6,NA,NA,NA
"605",19149813,1,8,NA,NA,NA
"606",52745224,1,8,NA,NA,NA
"607",32061633,2,6,NA,NA,NA
"612",11050460,2,5,NA,NA,NA
"615",66441445,1,9,NA,NA,NA
"620",34853425,2,5,NA,NA,NA
"621",40914909,2,8,NA,NA,NA
"623",59787036,2,9,NA,NA,NA
"624",83350691,1,4,NA,NA,NA
"626",56499935,2,9,1,NA,NA
"629",65307998,1,5,NA,NA,NA
"630",45928283,1,5,NA,NA,NA
"631",25076135,2,8,NA,NA,NA
"634",89028951,2,3,NA,NA,NA
"635",54470922,1,7,NA,NA,NA
"637",80725542,2,10,NA,NA,NA
"640",36216487,2,3,NA,NA,NA
"641",29193592,2,7,NA,NA,NA
"642",92527832,1,4,NA,NA,NA
"645",12004634,1,9,NA,1,3
"648",87821915,2,8,NA,NA,NA
"650",31334734,1,7,NA,NA,NA
"652",32668778,1,5,NA,NA,NA
"659",27153812,2,4,NA,NA,NA
"660",31215864,2,6,NA,NA,NA
"663",20705074,1,5,NA,NA,NA
"664",70549751,2,4,NA,NA,NA
"666",31889779,1,7,NA,NA,NA
"668",42965665,2,8,NA,NA,NA
"670",54629924,1,4,NA,NA,NA
"671",22437160,1,4,NA,1,1
"672",59881152,2,6,NA,NA,NA
"673",46521425,1,7,NA,NA,NA
"674",82965986,1,5,NA,NA,NA
"675",31592181,2,7,NA,NA,NA
"677",76041698,2,6,NA,NA,NA
"678",33408469,2,3,NA,NA,NA
"679",82045560,1,6,NA,NA,NA
"682",71380567,1,4,NA,NA,NA
"683",90411362,2,8,NA,NA,NA
"685",40907695,1,7,NA,NA,NA
"686",49221496,1,8,NA,NA,NA
"687",19766625,2,7,NA,NA,NA
"688",60577182,1,8,NA,NA,NA
"689",26312038,2,6,NA,NA,NA
"692",38760369,1,6,1,NA,NA
"696",89523759,1,6,NA,NA,NA
"697",97612864,1,3,NA,NA,NA
"699",14957952,1,4,NA,NA,NA
"700",93313494,2,6,NA,NA,NA
"702",13104958,2,6,NA,NA,NA
"703",21724603,2,7,NA,NA,NA
"705",47662095,2,3,NA,NA,NA
"706",85461568,1,8,NA,NA,NA
"709",47368541,1,10,NA,NA,NA
"712",34209777,2,6,NA,NA,NA
"713",77033131,2,5,NA,NA,NA
"714",84531602,2,7,NA,NA,NA
"715",88075272,2,9,NA,NA,NA
"716",59814352,1,7,NA,NA,NA
"717",97514190,1,7,NA,NA,NA
"720",56199980,2,5,NA,NA,NA
"721",94690182,2,4,NA,NA,NA
"722",23442006,1,7,NA,NA,NA
"723",51447117,2,6,NA,NA,NA
"724",48210030,1,6,NA,NA,NA
"726",45876349,1,6,NA,NA,NA
"729",73270960,1,5,NA,NA,NA
"730",70862991,2,6,NA,NA,NA
"731",31696962,1,7,NA,NA,NA
"732",79866901,1,8,NA,NA,NA
"734",63610035,1,6,NA,NA,NA
"735",53672842,2,6,NA,NA,NA
"737",50291192,2,7,NA,NA,NA
"738",36614357,1,5,NA,NA,NA
"740",59355371,1,9,NA,NA,NA
"741",60901783,2,3,NA,NA,NA
"742",26047629,1,9,NA,NA,NA
"743",36608965,2,8,NA,NA,NA
"744",20490665,1,8,NA,NA,NA
"745",67907874,2,7,1,NA,NA
"746",59901863,1,9,NA,NA,NA
"749",39054006,2,8,NA,NA,NA
"751",80363797,2,7,NA,NA,NA
"753",97195968,1,7,NA,NA,NA
"755",60406471,1,8,NA,NA,NA
"756",75108209,1,6,NA,NA,NA
"757",42651405,2,5,NA,NA,NA
"761",85029516,2,6,NA,NA,NA
"762",46093997,2,6,NA,NA,NA
"764",19313729,2,6,NA,NA,NA
"765",57443989,2,6,NA,NA,NA
"766",65863712,2,8,NA,NA,NA
"768",77054694,1,5,NA,NA,NA
"771",92647847,1,8,NA,NA,NA
"772",38194490,1,9,NA,NA,NA
"773",12621266,2,7,NA,NA,NA
"775",10597878,2,5,NA,NA,NA
"776",93907854,1,7,NA,NA,NA
"779",58635298,2,8,NA,NA,NA
"780",17800662,1,8,NA,NA,NA
"781",59179849,1,7,NA,NA,NA
"782",21069189,2,6,NA,NA,NA
"783",24175915,1,3,NA,NA,NA
"784",22724631,2,7,NA,1,1
"787",60205018,2,4,NA,NA,NA
"788",73929143,2,3,NA,NA,NA
"789",24290867,2,4,NA,NA,NA
"790",42649061,1,5,NA,NA,NA
"792",64664482,1,6,NA,NA,NA
"793",51306809,2,4,NA,NA,NA
"795",19849824,1,7,1,NA,NA
"797",64749563,2,5,NA,NA,NA
"798",12601497,2,4,NA,NA,NA
"799",65243297,2,9,NA,NA,NA
"800",57683350,1,9,NA,NA,NA
"801",59175290,2,4,NA,NA,NA
"803",64383902,1,5,NA,NA,NA
"804",41171764,2,9,NA,NA,NA
"805",41681591,2,8,NA,NA,NA
"806",33624065,2,6,NA,NA,NA
"809",13925625,2,4,NA,NA,NA
"813",57449610,1,4,NA,NA,NA
"815",12525335,2,6,NA,NA,NA
"817",40219446,2,10,NA,NA,NA
"818",31809467,1,7,NA,NA,NA
"819",83666214,2,7,NA,NA,NA
"821",10733028,1,10,NA,NA,NA
"823",29686677,1,8,NA,NA,NA
"824",88770601,1,6,NA,NA,NA
"825",94996007,1,8,NA,NA,NA
"826",14163426,1,6,NA,NA,NA
"827",85734881,1,7,1,NA,NA
"828",44648389,1,3,NA,NA,NA
"829",10407229,2,6,NA,NA,NA
"830",83868015,1,8,NA,NA,NA
"832",26086245,2,4,NA,NA,NA
"834",65253893,2,7,NA,NA,NA
"836",35421987,1,6,NA,NA,NA
"837",83069812,2,5,NA,NA,NA
"838",68942633,1,5,NA,NA,NA
"839",91621251,2,4,NA,NA,NA
"841",33908747,2,6,NA,NA,NA
"843",49232006,2,10,NA,NA,NA
"844",44769983,2,8,NA,NA,NA
"845",16869747,1,6,NA,NA,NA
"847",65632980,2,8,NA,NA,NA
"848",39038863,2,6,NA,NA,NA
"849",67804681,1,7,NA,NA,NA
"850",56193363,1,7,NA,NA,NA
"851",90482220,1,6,NA,NA,NA
"852",59999188,1,6,NA,NA,NA
"853",49778125,2,7,NA,NA,NA
"855",30927456,2,8,NA,NA,NA
"856",37609716,2,8,NA,NA,NA
"858",13240418,2,7,NA,NA,NA
"859",44446914,1,5,NA,NA,NA
"861",20450536,1,6,NA,NA,NA
"863",64975021,1,4,1,NA,NA
